time,step-size,{controller}.c.acceleration,{controller}.c.steer_angle_vel,{model}.m.steer_angle,{model}.m.velocity,{model}.m.x,{model}.m.y,{rabbitmq}.r.angle,{rabbitmq}.r.distance
14.399999999999737,0.01,-0.11249160490797765,-0.19814499462980822,0.03575814682639285,3.160338780372976,-14.89718558691175,6.427564940248494,-0.02908882086657205,6.34174334526062
14.409999999999737,0.01,-0.12051513155081173,-0.19577552247775284,0.03377669688009476,3.1592138643238963,-14.89737838568986,6.395962140541757,-0.03490658503988664,6.311279458999634
14.419999999999737,0.01,-0.12837007007444015,-0.1938317700712087,0.031818941655317234,3.158008713008388,-14.897411728521407,6.364370019493792,-0.03490658503988664,6.287748155593872
14.429999999999737,0.01,-0.13423574423874873,-0.18502187155970978,0.029880623954605147,3.1567250123076436,-14.897291754921197,6.332790160255998,-0.040724349213201005,6.246199073791504
14.439999999999737,0.01,-0.14509926672296478,-0.18327221425830234,0.02803040523900805,3.155382654865256,-14.897024558728951,6.301224040973962,-0.040724349213201005,6.224210290908814
14.449999999999736,0.01,-0.15045071146468583,-0.1749462300381154,0.026197683096425027,3.1539316621980267,-14.896616181950826,6.269672857188413,-0.04654211338651537,6.19431776046753
14.459999999999736,0.01,-0.15795002438790753,-0.17367175274828875,0.024448220796043873,3.15242715508338,-14.89607253597332,6.238138226351305,-0.04654211338651537,6.1561595058441165
14.469999999999736,0.01,-0.16773163141367534,-0.16579917239657357,0.022711503268560987,3.1508476548395006,-14.895399468642548,6.2066211408709036,-0.05235987755982996,6.129266300201416
14.479999999999736,0.01,-0.17431402884730368,-0.1649567158746978,0.02105351154459525,3.149170338525364,-14.89460269228314,6.1751227402474775,-0.05235987755982996,6.107084836959839
14.489999999999736,0.01,-0.1795184487664634,-0.157495753116852,0.019403944385848273,3.147427198236891,-14.893687877006471,6.1436443270867995,-0.05235987755982996,6.073815021514893
14.499999999999735,0.01,-0.1877881129179646,-0.15007270090249059,0.017828986854679752,3.145632013749226,-14.892660541061037,6.112186825951532,-0.058177641733144325,6.03973572731018
14.509999999999735,0.01,-0.1962532046026851,-0.1499581643640292,0.016328259845654846,3.1437541326200464,-14.891526145445283,6.080750967077003,-0.058177641733144325,6.011213550567627
14.519999999999735,0.01,-0.20311268541309238,-0.1432048928234171,0.014828678202014554,3.1417916005740194,-14.890290022523924,6.049337737304184,-0.058177641733144325,5.985292615890503
14.529999999999735,0.01,-0.20919302789507074,-0.1364567754270358,0.013396629273780382,3.1397604737198885,-14.888957366944418,6.017948097687742,-0.06399540590645869,5.955675048828125
14.539999999999734,0.01,-0.21626727056005804,-0.136985327601779,0.012032061519510024,3.1376685434409377,-14.887533319254047,5.98658280362872,-0.06399540590645869,5.926877546310425
